ticker,drift,t,lower_bound_drift,upper_bound_drift,volatility
A,0.14746773403244545,1.96,0.14564170683036334,0.14929376123452756,0.2314673658139164
AAL,-0.14129386050077922,1.96,-0.14446475767813877,-0.13812296332341967,0.4550746498404662
AAP,-0.04810213386655338,1.96,-0.05239492707044849,-0.04380934066265828,0.34262410680833355
AAPL,0.24270982336153707,1.96,0.24051922987677096,0.24490041684630318,0.23451642214430196
ABBV,0.1159996626802151,1.96,0.1144521609097119,0.11754716445071829,0.24298235581997946
ABT,0.1230828500165348,1.96,0.12118360072111324,0.12498209931195635,0.1997590157621615
ACN,0.1510124327241155,1.96,0.1496580114003611,0.15236685404786987,0.2144060474306275
ADBE,0.22440062711717773,1.96,0.22129030291416543,0.22751095132019003,0.2763234030779547
ADI,0.14644879184490803,1.96,0.14533920531161104,0.147558378378205,0.2593761842823419
ADM,0.05640929743078882,1.96,0.05414968424539893,0.05866891061617871,0.23299249890819942
ADP,0.1292209569578546,1.96,0.12816238088819182,0.13027953302751738,0.20339415042440936
ADSK,0.17576056922429203,1.96,0.17284710194295602,0.17867403650562805,0.3126122208007688
AEE,0.0804298735092982,1.96,0.07905839070358894,0.08180135631500746,0.18599547868769434
AEP,0.05522912074747727,1.96,0.054086249293060766,0.05637199220189377,0.183709461388631
AES,0.06419316319835561,1.96,0.06160973560493724,0.06677659079177398,0.28864610803794727
AFL,0.10309892833739985,1.96,0.10150261135558589,0.10469524531921381,0.2171342659202772
AIG,0.0078062550555710415,1.96,0.005237592630156373,0.01037491748098571,0.2856500432739234
AIZ,0.09796091060781752,1.96,0.09658652648821932,0.09933529472741572,0.22831919301326795
AJG,0.1907923395995757,1.96,0.18930647529088251,0.19227820390826889,0.1805975817557781
AKAM,0.06880443621518537,1.96,0.06685707167385033,0.0707518007565204,0.2755267676065062
ALB,0.10947615328159106,1.96,0.1053142561236371,0.11363805043954503,0.38693871280767556
ALGN,0.1890837849734599,1.96,0.18345676126415944,0.19471080868276036,0.4068020907621041
ALK,-0.061204329995433994,1.96,-0.06366636029269832,-0.058742299698169666,0.41625331762175544
ALL,0.09464044352601067,1.96,0.0933590581390098,0.09592182891301154,0.20997796405728092
ALLE,0.08861060657088181,1.96,0.08715562670611061,0.090065586435653,0.23548337235346792
AMAT,0.23439656903385286,1.96,0.23165669585684656,0.23713644221085917,0.33367921001843737
AMD,0.4396576920302625,1.96,0.4345921115719329,0.4447232724885921,0.47428270674542317
AME,0.13525911296923968,1.96,0.1338969461413884,0.13662127979709096,0.21392257608104062
AMGN,0.07500894708799795,1.96,0.07403574186756086,0.07598215230843504,0.21764807647437617
AMP,0.13821102050057144,1.96,0.13575380726151007,0.1406682337396328,0.2828234558508417
AMT,0.10226880440955151,1.96,0.09990136565693038,0.10463624316217264,0.2133917740285797
AMZN,0.23124895951205837,1.96,0.22767670940509713,0.23482120961901962,0.2793416697627248
ANSS,0.16428902272548263,1.96,0.16187110076668812,0.16670694468427713,0.24668067925548384
AON,0.1464987944221377,1.96,0.14549732370182283,0.14750026514245257,0.19291724520812878
AOS,0.09250791914366398,1.96,0.0904017867210856,0.09461405156624235,0.23536448368109109
APA,-0.09609462334736767,1.96,-0.10110319250681557,-0.09108605418791976,0.523305895504333
APD,0.0929273486822017,1.96,0.09145751238118223,0.09439718498322118,0.21627968464661387
APH,0.15253219544590027,1.96,0.1512587110367078,0.15380567985509275,0.2078730749442919
ARE,0.05406492792382268,1.96,0.051593770875180855,0.0565360849724645,0.21776475914293691
ATO,0.08350000713749295,1.96,0.08216160648589647,0.08483840778908942,0.17865236486767855
AVB,0.02374160823770451,1.96,0.022327390646896764,0.025155825828512255,0.20535494530443185
AVGO,0.2543267517435086,1.96,0.25199188707891723,0.2566616164081,0.3182244158910817
AVY,0.14848344460053972,1.96,0.14685947581339873,0.15010741338768072,0.22734606095220491
AWK,0.11812895571655607,1.96,0.11609060165098244,0.12016730978212971,0.19215571652908173
AXP,0.10865904936886212,1.96,0.10654543081449781,0.11077266792322642,0.2663642444690348
AZO,0.17325568661480775,1.96,0.1711342016443964,0.1753771715852191,0.21755123827061051
BA,0.029674791382743596,1.96,0.025631000044553258,0.033718582720933934,0.3506782375062404
BAC,0.09307620823376421,1.96,0.0908346857126534,0.09531773075487501,0.2687013961818314
BAX,-0.020026134156570063,1.96,-0.023593186036250872,-0.016459082276889254,0.28071291414341
BBY,0.11464615999845801,1.96,0.11168658263497724,0.11760573736193877,0.3476699503527194
BDX,0.06804935751160562,1.96,0.06636390078891019,0.06973481423430106,0.18603322230088623
BEN,-0.07807356603966646,1.96,-0.08003405097407647,-0.07611308110525646,0.28450421544568044
BF.B,-0.03791330608149293,1.96,-0.040560372512314403,-0.03526623965067146,0.30492723985857967
BIO,0.1401813429827931,1.96,0.13637084352044954,0.1439918424451367,0.26655695343582847
BK,0.030454622771239063,1.96,0.028658583372097913,0.032250662170380216,0.23548868559684466
BLK,0.10259444186141213,1.96,0.1009371361240714,0.10425174759875286,0.2378213477763383
BMY,0.0024084693706876627,1.96,0.0007481622856577177,0.004068776455717607,0.22636167013552902
BR,0.15494862060098777,1.96,0.1532998211754146,0.15659742002656094,0.1970065764185459
BRK.B,0.11423330633752354,1.96,0.11315367289550601,0.11531293977954107,0.1597217226970531
