t,date,g
1,2014-01-06,8.0597
2,2014-01-07,3.0325
3,2014-01-08,0.0
4,2014-01-09,-5.4851
5,2014-01-10,4.8815
6,2014-01-13,-2.4289
7,2014-01-14,10.1651
8,2014-01-15,9.7709
9,2014-01-16,-5.1256
10,2014-01-17,-11.7778
11,2014-01-21,-0.6036
12,2014-01-22,-32.1865
13,2014-01-23,-3.4568
14,2014-01-24,-10.6645
15,2014-01-27,-4.3955
16,2014-01-28,9.4284
17,2014-01-29,-4.3078
18,2014-01-30,0.0
19,2014-01-31,-3.647
20,2014-02-03,-7.4562
21,2014-02-04,3.009
22,2014-02-05,-4.5271
23,2014-02-06,7.5006
24,2014-02-07,4.3955
25,2014-02-10,11.3597
26,2014-02-11,4.8132
27,2014-02-12,-0.682
28,2014-02-13,0.682
29,2014-02-14,-0.682
30,2014-02-18,0.682
31,2014-02-19,1.3585
32,2014-02-20,-2.0405
33,2014-02-21,0.0
34,2014-02-24,1.3622
35,2014-02-25,-1.3622
36,2014-02-26,0.682
37,2014-02-27,0.6802
38,2014-02-28,0.0
39,2014-03-03,-2.7317
40,2014-03-04,2.0516
41,2014-03-05,0.6802
42,2014-03-06,1.3548
43,2014-03-07,14.4415
44,2014-03-10,-9.0938
45,2014-03-11,2.6319
46,2014-03-12,3.897
47,2014-03-13,-3.2433
48,2014-03-14,-0.6537
49,2014-03-17,-3.2942
50,2014-03-18,5.8988
51,2014-03-19,5.7639
52,2014-03-20,4.3936
53,2014-03-21,-0.623
54,2014-03-24,0.623
55,2014-03-25,0.0
56,2014-03-26,0.0
57,2014-03-27,-8.8652
58,2014-03-28,-1.941
59,2014-03-31,8.3049
60,2014-04-01,3.7426
61,2014-04-02,-0.6199
62,2014-04-03,-3.7519
63,2014-04-04,0.6292
64,2014-04-07,-8.3049
65,2014-04-08,7.0449
66,2014-04-09,-0.6324
67,2014-04-10,-8.3686
68,2014-04-11,-13.4432
69,2014-04-14,4.1088
70,2014-04-15,5.3762
71,2014-04-16,-2.0027
72,2014-04-17,-4.7357
73,2014-04-21,27.7771
74,2014-04-22,10.776
75,2014-04-23,-2.9474
