t,date,g
1,2014-01-06,-0.7244
2,2014-01-07,1.543
3,2014-01-08,0.0549
4,2014-01-09,0.1647
5,2014-01-10,0.6852
6,2014-01-13,-3.3823
7,2014-01-14,2.7383
8,2014-01-15,1.3547
9,2014-01-16,-0.3277
10,2014-01-17,-1.0749
11,2014-01-21,0.7468
12,2014-01-22,0.1641
13,2014-01-23,-2.0732
14,2014-01-24,-5.4348
15,2014-01-27,-1.2427
16,2014-01-28,1.4961
17,2014-01-29,-2.4322
18,2014-01-30,2.6573
19,2014-01-31,-1.4807
20,2014-02-03,-5.7361
21,2014-02-04,1.7518
22,2014-02-05,-0.3091
23,2014-02-06,3.3015
24,2014-02-07,3.1045
25,2014-02-10,0.4624
26,2014-02-11,2.7429
27,2014-02-12,0.1246
28,2014-02-13,1.2977
29,2014-02-14,1.3869
30,2014-02-18,0.3011
31,2014-02-19,-1.6742
32,2014-02-20,1.4827
33,2014-02-21,-0.2876
34,2014-02-24,1.3939
35,2014-02-25,-0.0954
36,2014-02-26,0.0136
37,2014-02-27,1.3189
38,2014-02-28,0.6366
39,2014-03-03,-1.7783
40,2014-03-04,3.5173
41,2014-03-05,0.2283
42,2014-03-06,0.5765
43,2014-03-07,0.1071
44,2014-03-10,-0.1339
45,2014-03-11,-1.2486
46,2014-03-12,0.0673
47,2014-03-13,-2.8417
48,2014-03-14,-0.7086
49,2014-03-17,2.2688
50,2014-03-18,1.7924
51,2014-03-19,-1.3464
52,2014-03-20,1.4632
53,2014-03-21,-2.085
54,2014-03-24,-1.0443
55,2014-03-25,1.1931
56,2014-03-26,-1.819
57,2014-03-27,-0.5319
58,2014-03-28,1.2393
59,2014-03-31,2.0566
60,2014-04-01,1.6654
61,2014-04-02,0.8419
62,2014-04-03,-0.3338
63,2014-04-04,-2.9969
64,2014-04-07,-2.8005
65,2014-04-08,1.0368
66,2014-04-09,2.6948
67,2014-04-10,-5.3568
68,2014-04-11,-2.2736
69,2014-04-14,1.9777
70,2014-04-15,1.7296
71,2014-04-16,2.6199
72,2014-04-17,0.3585
73,2014-04-21,0.8773
74,2014-04-22,1.1426
75,2014-04-23,-0.5908
76,2014-04-24,0.5103
77,2014-04-25,-2.0746
78,2014-04-28,0.7901
79,2014-04-29,1.1772
80,2014-04-30,0.7505
81,2014-05-01,0.0201
82,2014-05-02,-0.3548
83,2014-05-05,0.4819
84,2014-05-06,-2.203
85,2014-05-07,1.4797
86,2014-05-08,-0.2751
87,2014-05-09,0.3824
88,2014-05-12,2.435
89,2014-05-13,0.2323
90,2014-05-14,-1.1968
91,2014-05-15,-2.2224
92,2014-05-16,0.8726
93,2014-05-19,0.923
94,2014-05-20,-1.5939
95,2014-05-21,2.1141
96,2014-05-22,0.6122
97,2014-05-23,1.0082
98,2014-05-27,1.5442
99,2014-05-28,-0.1843
100,2014-05-29,1.3002
101,2014-05-30,0.4058
102,2014-06-02,0.281
103,2014-06-03,-0.1241
104,2014-06-04,0.5092
105,2014-06-05,1.6382
106,2014-06-06,1.1959
107,2014-06-09,0.2643
108,2014-06-10,0.0258
109,2014-06-11,-0.8776
110,2014-06-12,-1.7905
111,2014-06-13,0.767
112,2014-06-16,0.2076
113,2014-06-17,0.6994
114,2014-06-18,1.8364
115,2014-06-19,0.2887
116,2014-06-20,-0.6935
117,2014-06-23,-0.0772
118,2014-06-24,-1.5227
119,2014-06-25,1.1364
120,2014-06-26,-0.1805
121,2014-06-27,0.4895
122,2014-06-30,-0.1287
123,2014-07-01,1.6811
124,2014-07-02,0.2557
125,2014-07-03,1.2363
126,2014-07-07,-0.8788
127,2014-07-08,-1.6256
128,2014-07-09,1.1275
129,2014-07-10,-0.9991
130,2014-07-11,0.3463
131,2014-07-14,1.2657
132,2014-07-15,-0.4723
133,2014-07-16,0.931
134,2014-07-17,-2.8806
135,2014-07-18,2.562
136,2014-07-21,-0.4719
137,2014-07-22,1.0958
138,2014-07-23,0.5588
139,2014-07-24,0.0127
140,2014-07-25,-1.1825
141,2014-07-28,0.1019
142,2014-07-29,-1.0852
143,2014-07-30,0.0384
144,2014-07-31,-5.0263
145,2014-08-01,-0.7712
146,2014-08-04,1.8131
147,2014-08-05,-2.4554
148,2014-08-06,0.0787
149,2014-08-07,-1.3682
150,2014-08-08,2.8986
151,2014-08-11,0.7227
152,2014-08-12,-0.3448
153,2014-08-13,1.7
154,2014-08-14,1.1871
155,2014-08-15,-0.0515
156,2014-08-18,2.1028
157,2014-08-19,1.3117
158,2014-08-20,0.6723
159,2014-08-21,0.7337
160,2014-08-22,-0.3919
161,2014-08-25,1.2745
162,2014-08-26,0.1636
163,2014-08-27,-0.1007
164,2014-08-28,-0.1385
165,2014-08-29,0.7167
166,2014-09-02,-0.1256
167,2014-09-03,-0.1382
168,2014-09-04,-0.3646
169,2014-09-05,1.1301
170,2014-09-08,-0.6524
171,2014-09-09,-1.6006
172,2014-09-10,0.9464
173,2014-09-11,0.2895
174,2014-09-12,-1.4763
175,2014-09-15,-0.1886
176,2014-09-16,1.8913
177,2014-09-17,0.3392
178,2014-09-18,1.3396
179,2014-09-19,-1.4024
180,2014-09-22,-1.9537
181,2014-09-23,-1.4467
182,2014-09-24,1.9649
183,2014-09-25,-4.0993
184,2014-09-26,1.9943
185,2014-09-29,-0.4588
186,2014-09-30,-0.6642
187,2014-10-01,-3.4384
