t,date,g
188,2014-10-02,0.0389
189,2014-10-03,2.7592
190,2014-10-06,-0.2951
191,2014-10-07,-3.9203
192,2014-10-08,4.3692
193,2014-10-09,-5.0482
194,2014-10-10,-2.893
195,2014-10-13,-4.1741
196,2014-10-14,0.3898
197,2014-10-15,-1.7109
198,2014-10-16,-0.2164
199,2014-10-17,2.9589
200,2014-10-20,2.4351
201,2014-10-21,4.9435
202,2014-10-22,-1.7983
203,2014-10-23,2.9126
204,2014-10-24,1.9317
205,2014-10-27,-0.3466
206,2014-10-28,2.874
207,2014-10-29,-0.3813
208,2014-10-30,1.6103
209,2014-10-31,2.8654
210,2014-11-03,0.1374
211,2014-11-04,-0.8758
212,2014-11-05,1.5867
213,2014-11-06,1.0068
214,2014-11-07,0.2356
215,2014-11-10,0.7919
216,2014-11-11,0.2408
217,2014-11-12,-0.2655
218,2014-11-13,0.284
219,2014-11-14,0.0617
220,2014-11-17,0.1603
221,2014-11-18,1.4508
222,2014-11-19,-0.4049
223,2014-11-20,0.4417
224,2014-11-21,1.3448
225,2014-11-24,0.7062
226,2014-11-25,-0.1824
227,2014-11-26,0.6441
228,2014-11-28,-0.5346
229,2014-12-01,-1.7575
230,2014-12-02,1.6176
231,2014-12-03,0.9777
232,2014-12-04,-0.279
233,2014-12-05,0.4123
234,2014-12-08,-1.6897
235,2014-12-09,-0.1708
236,2014-12-10,-4.0725
237,2014-12-11,1.2743
238,2014-12-12,-4.1059
239,2014-12-15,-1.7371
240,2014-12-16,-2.0291
241,2014-12-17,4.8926
242,2014-12-18,6.1558
243,2014-12-19,-0.3171
244,2014-12-22,1.1566
245,2014-12-23,0.3399
246,2014-12-24,0.0243
247,2014-12-26,0.8113
248,2014-12-29,0.3383
249,2014-12-30,-1.3559
250,2014-12-31,-2.5131
251,2015-01-02,-0.1349
252,2015-01-05,-4.5926
253,2015-01-06,-2.3848
254,2015-01-07,3.1208
255,2015-01-08,4.4325
256,2015-01-09,-2.0276
257,2015-01-12,-1.9818
258,2015-01-13,-0.7098
259,2015-01-14,-1.526
260,2015-01-15,-2.3192
261,2015-01-16,3.2834
262,2015-01-20,0.5306
263,2015-01-21,1.2751
264,2015-01-22,3.7199
265,2015-01-23,-1.3855
266,2015-01-26,0.5894
267,2015-01-27,-3.3461
268,2015-01-28,-3.2526
269,2015-01-29,2.3189
270,2015-01-30,-3.1892
271,2015-02-02,3.1016
272,2015-02-03,3.6181
273,2015-02-04,-0.9614
274,2015-02-05,2.5312
275,2015-02-06,-0.6978
276,2015-02-09,-1.1304
277,2015-02-10,2.6705
278,2015-02-11,0.1462
279,2015-02-12,2.4118
280,2015-02-13,1.0352
281,2015-02-17,0.3961
282,2015-02-18,0.024
283,2015-02-19,-0.18
284,2015-02-20,1.5064
285,2015-02-23,-0.0358
286,2015-02-24,0.7161
287,2015-02-25,-0.2142
288,2015-02-26,-0.2979
289,2015-02-27,-0.8598
290,2015-03-02,1.586
291,2015-03-03,-1.0363
292,2015-03-04,-1.0645
293,2015-03-05,0.2754
294,2015-03-06,-3.5694
295,2015-03-09,1.0423
296,2015-03-10,-4.1214
297,2015-03-11,-0.5908
298,2015-03-12,3.1837
299,2015-03-13,-1.5535
300,2015-03-16,3.348
301,2015-03-17,-0.7502
302,2015-03-18,3.0114
303,2015-03-19,-1.1521
304,2015-03-20,1.0922
305,2015-03-23,-0.4915
306,2015-03-24,-1.42
307,2015-03-25,-3.7201
308,2015-03-26,-0.6008
309,2015-03-27,0.5763
310,2015-03-30,3.0558
311,2015-03-31,-2.212
312,2015-04-01,-0.8927
313,2015-04-02,0.8988
314,2015-04-06,1.6972
315,2015-04-07,-0.6678
316,2015-04-08,0.8435
317,2015-04-09,1.1183
318,2015-04-10,1.3715
319,2015-04-13,-1.1424
320,2015-04-14,0.4816
321,2015-04-15,1.1282
322,2015-04-16,-0.0719
323,2015-04-17,-2.9157
324,2015-04-20,2.292
325,2015-04-21,-0.3004
326,2015-04-22,1.2353
327,2015-04-23,0.6333
328,2015-04-24,0.584
329,2015-04-27,-1.0498
330,2015-04-28,0.7998
331,2015-04-29,-1.039
332,2015-04-30,-2.5379
333,2015-05-01,2.7173
334,2015-05-04,0.7165
335,2015-05-05,-2.9025
336,2015-05-06,-1.0396
337,2015-05-07,1.0034
338,2015-05-08,3.2962
339,2015-05-11,-1.2116
340,2015-05-12,-0.749
341,2015-05-13,0.048
342,2015-05-14,2.6141
343,2015-05-15,0.273
344,2015-05-18,0.7817
345,2015-05-19,-0.0828
346,2015-05-20,-0.1775
347,2015-05-21,0.7329
348,2015-05-22,-0.6027
349,2015-05-26,-2.7241
350,2015-05-27,2.3807
351,2015-05-28,-0.2845
352,2015-05-29,-1.5705
353,2015-06-01,0.5127
354,2015-06-02,-0.2503
355,2015-06-03,0.6668
356,2015-06-04,-2.1385
357,2015-06-05,-0.4311
358,2015-06-08,-1.5545
359,2015-06-09,-0.0363
360,2015-06-10,3.0043
361,2015-06-11,0.811
362,2015-06-12,-1.9364
363,2015-06-15,-1.0823
364,2015-06-16,1.3701
365,2015-06-17,0.4072
366,2015-06-18,2.6071
367,2015-06-19,-2.344
368,2015-06-22,1.2877
369,2015-06-23,0.1783
370,2015-06-24,-1.8369
371,2015-06-25,-0.7673
372,2015-06-26,-0.048
373,2015-06-29,-5.3407
374,2015-06-30,0.527
375,2015-07-01,2.0119
376,2015-07-02,-0.2309
377,2015-07-06,-0.7182
378,2015-07-07,1.5798
379,2015-07-08,-4.2637
380,2015-07-09,0.4555
381,2015-07-10,3.1532
382,2015-07-13,2.7661
383,2015-07-14,1.0908
384,2015-07-15,-0.0837
385,2015-07-16,2.0141
386,2015-07-17,0.2136
387,2015-07-20,0.1304
388,2015-07-21,-0.9977
389,2015-07-22,-0.4526
390,2015-07-23,-1.4228
391,2015-07-24,-2.6274
392,2015-07-27,-1.4702
393,2015-07-28,3.0765
394,2015-07-29,1.7276
395,2015-07-30,0.0598
396,2015-07-31,-0.3828
397,2015-08-03,-0.8514
398,2015-08-04,-0.493
399,2015-08-05,0.8291
400,2015-08-06,-2.0718
401,2015-08-07,-0.4843
402,2015-08-10,3.1552
403,2015-08-11,-2.2841
404,2015-08-12,0.3017
405,2015-08-13,-0.3138
406,2015-08-14,0.9162
407,2015-08-17,1.404
408,2015-08-18,-0.731
409,2015-08-19,-2.0001
410,2015-08-20,-5.3178
411,2015-08-21,-7.7023
412,2015-08-24,-10.8408
413,2015-08-25,-2.9831
414,2015-08-26,9.4941
415,2015-08-27,6.1574
416,2015-08-28,0.0126
417,2015-08-31,-2.0442
418,2015-09-01,-7.6362
419,2015-09-02,4.7384
420,2015-09-03,0.1805
421,2015-09-04,-3.8436
422,2015-09-08,6.2548
423,2015-09-09,-3.3924
424,2015-09-10,1.3676
425,2015-09-11,1.1426
426,2015-09-14,-0.9368
427,2015-09-15,3.1303
428,2015-09-16,2.1746
429,2015-09-17,-0.5671
430,2015-09-18,-5.4588
431,2015-09-21,1.2989
432,2015-09-22,-3.2923
433,2015-09-23,-0.4032
434,2015-09-24,-0.9128
435,2015-09-25,-0.0653
436,2015-09-28,-6.4052
437,2015-09-29,0.1474
438,2015-09-30,4.6586
439,2015-10-01,0.6567
440,2015-10-02,3.7365
441,2015-10-05,4.4449
442,2015-10-06,-0.8649
443,2015-10-07,2.0556
444,2015-10-08,2.2645
445,2015-10-09,0.1502
446,2015-10-12,0.2377
447,2015-10-13,-1.5932
448,2015-10-14,-1.211
449,2015-10-15,3.8399
450,2015-10-16,1.1431
451,2015-10-19,0.1239
452,2015-10-20,-0.3224
453,2015-10-21,-1.5682
454,2015-10-22,4.2217
455,2015-10-23,2.7473
456,2015-10-26,-0.6201
457,2015-10-27,-0.4874
458,2015-10-28,2.8502
459,2015-10-29,-0.1448
460,2015-10-30,-1.0884
461,2015-11-02,2.9639
462,2015-11-03,0.7296
463,2015-11-04,-0.7655
464,2015-11-05,-0.2517
465,2015-11-06,-0.1319
466,2015-11-09,-2.3626
467,2015-11-10,0.5806
468,2015-11-11,-0.9927
469,2015-11-12,-3.5426
470,2015-11-13,-2.8455
471,2015-11-16,3.8033
472,2015-11-17,-0.1839
473,2015-11-18,3.9669
474,2015-11-19,-0.2174
475,2015-11-20,0.9176
476,2015-11-23,-0.2901
477,2015-11-24,0.3373
478,2015-11-25,-0.0361
479,2015-11-27,0.2888
480,2015-11-30,-1.0484
481,2015-12-01,2.3916
482,2015-12-02,-2.5861
483,2015-12-03,-3.5524
484,2015-12-04,4.8674
485,2015-12-07,-1.5314
486,2015-12-08,-1.7002
487,2015-12-09,-1.9669
488,2015-12-10,0.6496
489,2015-12-11,-4.932
490,2015-12-14,1.271
491,2015-12-15,2.6316
492,2015-12-16,3.6596
493,2015-12-17,-3.8696
494,2015-12-18,-6.0242
495,2015-12-21,2.0693
496,2015-12-22,2.2764
497,2015-12-23,3.1014
498,2015-12-24,-0.4162
499,2015-12-28,-0.5765
500,2015-12-29,2.6751
501,2015-12-30,-1.7925
502,2015-12-31,-2.5335
503,2016-01-04,-3.5487
504,2016-01-05,0.4269
505,2016-01-06,-3.199
506,2016-01-07,-6.1196
507,2016-01-08,-2.7774
508,2016-01-11,0.2454
509,2016-01-12,2.0261
510,2016-01-13,-6.3658
511,2016-01-14,4.1035
512,2016-01-15,-5.4684
513,2016-01-19,0.3352
514,2016-01-20,-3.2503
515,2016-01-21,1.4077
516,2016-01-22,5.1175
517,2016-01-25,-3.8384
518,2016-01-26,3.4148
519,2016-01-27,-2.7576
520,2016-01-28,1.3093
521,2016-01-29,6.0705
522,2016-02-01,-0.0921
523,2016-02-02,-4.583
524,2016-02-03,1.5062
525,2016-02-04,0.3949
526,2016-02-05,-4.8469
527,2016-02-08,-3.4152
528,2016-02-09,0.0136
529,2016-02-10,-0.2175
530,2016-02-11,-3.2995
531,2016-02-12,5.1426
532,2016-02-16,4.2178
533,2016-02-17,4.0831
534,2016-02-18,-1.0343
535,2016-02-19,-0.1181
536,2016-02-22,3.6226
537,2016-02-23,-3.2029
538,2016-02-24,1.1504
539,2016-02-25,3.0338
540,2016-02-26,-0.5816
541,2016-02-29,-1.9831
542,2016-03-01,5.8552
543,2016-03-02,1.1296
544,2016-03-03,0.9795
545,2016-03-04,0.8249
546,2016-03-07,0.2011
547,2016-03-08,-2.7664
548,2016-03-09,1.2417
549,2016-03-10,0.2021
550,2016-03-11,4.0341
551,2016-03-14,-0.3233
552,2016-03-15,-0.411
553,2016-03-16,1.4542
554,2016-03-17,1.5937
555,2016-03-18,-0.3081
556,2016-03-21,0.3573
557,2016-03-22,-0.1355
558,2016-03-23,-1.6696
559,2016-03-24,-0.1106
560,2016-03-28,0.1488
561,2016-03-29,2.3213
562,2016-03-30,1.1023
563,2016-03-31,-0.6123
564,2016-04-01,1.7108
565,2016-04-04,-0.8173
566,2016-04-05,-2.5306
567,2016-04-06,2.7382
568,2016-04-07,-3.0336
569,2016-04-08,0.6777
570,2016-04-11,-0.5911
571,2016-04-12,2.3358
572,2016-04-13,2.5337
573,2016-04-14,0.0111
574,2016-04-15,-0.2788
575,2016-04-18,1.7636
576,2016-04-19,0.7946
577,2016-04-20,0.24
578,2016-04-21,-1.359
579,2016-04-22,0.0
580,2016-04-25,-0.4345
581,2016-04-26,0.3732
582,2016-04-27,0.5191
583,2016-04-28,-2.3006
584,2016-04-29,-1.3602
585,2016-05-02,1.9941
586,2016-05-03,-2.2038
587,2016-05-04,-1.4087
588,2016-05-05,-0.0492
589,2016-05-06,0.9204
590,2016-05-09,0.2072
591,2016-05-10,3.115
592,2016-05-11,-2.3685
593,2016-05-12,0.0732
594,2016-05-13,-2.2056
595,2016-05-16,2.4738
596,2016-05-17,-2.3621
597,2016-05-18,0.0728
598,2016-05-19,-0.8747
599,2016-05-20,1.587
600,2016-05-23,-0.3436
601,2016-05-24,3.2455
602,2016-05-25,1.7036
603,2016-05-26,0.0722
604,2016-05-27,1.0811
605,2016-05-31,-0.4799
606,2016-06-01,0.5159
607,2016-06-02,0.7658
608,2016-06-03,-0.7539
609,2016-06-06,1.279
610,2016-06-07,0.3932
611,2016-06-08,0.8201
612,2016-06-09,-0.3444
613,2016-06-10,-2.3997
614,2016-06-13,-1.9519
615,2016-06-14,-0.4952
616,2016-06-15,-0.3515
617,2016-06-16,0.7509
618,2016-06-17,-2.2474
619,2016-06-20,1.6177
620,2016-06-21,0.7143
621,2016-06-22,-0.4114
622,2016-06-23,3.2605
623,2016-06-24,-9.352
624,2016-06-27,-4.4178
625,2016-06-28,4.5042
626,2016-06-29,4.2552
627,2016-06-30,3.4094
628,2016-07-01,0.5357
629,2016-07-05,-1.8202
630,2016-07-06,1.5069
631,2016-07-07,-0.1611
632,2016-07-08,3.7295
633,2016-07-11,0.8872
634,2016-07-12,1.8238
635,2016-07-13,-0.0352
636,2016-07-14,1.4031
637,2016-07-15,-0.3384
638,2016-07-18,0.6754
639,2016-07-19,-0.2554
640,2016-07-20,1.0411
641,2016-07-21,-0.9537
642,2016-07-22,1.1336
643,2016-07-25,-0.6853
644,2016-07-26,0.1163
645,2016-07-27,-0.2675
646,2016-07-28,0.2908
647,2016-07-29,0.4066
648,2016-08-01,-0.209
649,2016-08-02,-1.6208
650,2016-08-03,0.7364
651,2016-08-04,0.2676
652,2016-08-05,2.0531
653,2016-08-08,-0.1502
654,2016-08-09,0.1502
655,2016-08-10,-0.6245
656,2016-08-11,1.1667
657,2016-08-12,-0.2191
658,2016-08-15,0.7257
659,2016-08-16,-1.3031
660,2016-08-17,0.4736
661,2016-08-18,0.5648
662,2016-08-19,-0.3687
663,2016-08-22,-0.0115
664,2016-08-23,0.5069
665,2016-08-24,-1.2923
666,2016-08-25,-0.1736
667,2016-08-26,-0.475
668,2016-08-29,1.2388
669,2016-08-30,-0.4167
670,2016-08-31,-0.7177
671,2016-09-01,0.0116
672,2016-09-02,1.1335
673,2016-09-06,0.7614
674,2016-09-07,-0.0239
675,2016-09-08,-0.576
676,2016-09-09,-6.1049
677,2016-09-12,3.5898
678,2016-09-13,-3.6489
679,2016-09-14,-0.0946
680,2016-09-15,2.5057
681,2016-09-16,-2.2458
682,2016-09-19,0.0472
683,2016-09-20,0.0118
684,2016-09-21,2.818
685,2016-09-22,1.583
686,2016-09-23,-1.3846
687,2016-09-26,-2.0501
688,2016-09-27,1.5596
689,2016-09-28,1.2477
690,2016-09-29,-2.2903
691,2016-09-30,1.8945
692,2016-10-03,-0.6066
693,2016-10-04,-1.2879
694,2016-10-05,1.1127
695,2016-10-06,0.1752
696,2016-10-07,-0.8657
697,2016-10-10,1.3091
698,2016-10-11,-3.2029
699,2016-10-12,0.3304
700,2016-10-13,-0.8268
701,2016-10-14,0.1301
702,2016-10-17,-0.8765
703,2016-10-18,1.5732
704,2016-10-19,0.6712
705,2016-10-20,-0.4709
706,2016-10-21,0.1178
707,2016-10-24,1.0694
708,2016-10-25,-0.8458
709,2016-10-26,-0.5065
710,2016-10-27,-0.6729
711,2016-10-28,-0.7459
712,2016-10-31,0.0119
713,2016-11-01,-1.8325
714,2016-11-02,-1.5213
715,2016-11-03,-1.1561
716,2016-11-04,-0.2778
717,2016-11-07,5.498
718,2016-11-08,1.1324
719,2016-11-09,2.6567
720,2016-11-10,0.629
721,2016-11-11,-0.5815
722,2016-11-14,0.1979
723,2016-11-15,1.9587
724,2016-11-16,-0.4738
725,2016-11-17,1.2921
726,2016-11-18,-0.5645
727,2016-11-21,1.8958
728,2016-11-22,0.4917
729,2016-11-23,0.1371
730,2016-11-25,0.9346
731,2016-11-28,-1.1859
732,2016-11-29,0.491
733,2016-11-30,-0.6053
734,2016-12-01,-0.9279
735,2016-12-02,0.1262
736,2016-12-05,1.5097
737,2016-12-06,0.7969
738,2016-12-07,3.275
739,2016-12-08,0.6163
740,2016-12-09,1.5176
741,2016-12-12,-0.2894
742,2016-12-13,1.6763
743,2016-12-14,-2.0887
744,2016-12-15,1.0354
745,2016-12-16,-1.9743
746,2016-12-19,0.5481
747,2016-12-20,0.9702
748,2016-12-21,-0.7022
749,2016-12-22,-0.4357
750,2016-12-23,0.3687
751,2016-12-27,0.6245
752,2016-12-28,-2.0913
753,2016-12-29,-0.0562
754,2016-12-30,-0.9227
755,2017-01-03,1.9205
756,2017-01-04,1.4948
757,2017-01-05,-0.2003
758,2017-01-06,0.9
759,2017-01-09,-0.8332
760,2017-01-10,0.0
761,2017-01-11,0.7112
762,2017-01-12,-0.6333
763,2017-01-13,0.5778
764,2017-01-17,-0.8895
765,2017-01-18,0.5563
766,2017-01-19,-0.9353
767,2017-01-20,0.9242
768,2017-01-23,-0.6566
769,2017-01-24,1.6106
770,2017-01-25,2.1718
771,2017-01-26,-0.2636
772,2017-01-27,-0.3959
773,2017-01-30,-1.5677
774,2017-01-31,-0.0221
775,2017-02-01,0.0997
776,2017-02-02,0.166
777,2017-02-03,1.7311
778,2017-02-06,-0.4509
779,2017-02-07,0.011
780,2017-02-08,0.33
781,2017-02-09,1.4906
782,2017-02-10,0.9925
783,2017-02-13,1.3678
784,2017-02-14,1.0048
785,2017-02-15,1.3121
786,2017-02-16,-0.2146
787,2017-02-17,0.3969
788,2017-02-21,1.4963
789,2017-02-22,-0.2239
790,2017-02-23,0.1706
791,2017-02-24,0.3195
792,2017-02-27,0.3935
793,2017-02-28,-0.6811
794,2017-03-01,3.5029
795,2017-03-02,-1.592
796,2017-03-03,0.1586
797,2017-03-06,-0.7516
798,2017-03-07,-0.7538
799,2017-03-08,-0.4683
800,2017-03-09,0.3194
801,2017-03-10,0.8815
802,2017-03-13,0.1272
803,2017-03-14,-0.9661
804,2017-03-15,2.1713
805,2017-03-16,-0.4962
806,2017-03-17,-1.5369
807,2017-03-20,-0.2766
808,2017-03-21,-3.2565
809,2017-03-22,0.5923
810,2017-03-23,-0.2691
811,2017-03-24,-0.1831
812,2017-03-27,-0.2587
813,2017-03-28,1.8271
814,2017-03-29,0.2355
815,2017-03-30,0.8011
816,2017-03-31,-0.5873
817,2017-04-03,-0.4387
818,2017-04-04,0.1606
819,2017-04-05,-0.7502
820,2017-04-06,0.7074
821,2017-04-07,-0.257
822,2017-04-10,0.15
823,2017-04-11,-0.3
824,2017-04-12,-1.1067
825,2017-04-13,-1.6421
826,2017-04-17,2.2228
827,2017-04-18,-0.7531
828,2017-04-19,-0.4638
829,2017-04-20,2.0428
830,2017-04-21,-0.8044
831,2017-04-24,2.7563
832,2017-04-25,1.462
833,2017-04-26,-0.1585
834,2017-04-27,0.2113
835,2017-04-28,-0.5498
836,2017-05-01,0.6343
837,2017-05-02,0.095
838,2017-05-03,-0.3063
839,2017-05-04,0.2957
840,2017-05-05,0.9902
841,2017-05-08,-0.0421
842,2017-05-09,-0.2314
843,2017-05-10,0.4522
844,2017-05-11,-0.5153
845,2017-05-12,-0.4214
846,2017-05-15,1.3881
847,2017-05-16,-0.2308
848,2017-05-17,-4.5117
849,2017-05-18,1.0131
850,2017-05-19,1.6338
851,2017-05-22,1.2763
852,2017-05-23,0.557
853,2017-05-24,0.5872
854,2017-05-25,1.2016
855,2017-05-26,-0.0521
856,2017-05-30,-0.219
857,2017-05-31,-0.0626
858,2017-06-01,1.9961
859,2017-06-02,0.8374
860,2017-06-05,-0.1858
861,2017-06-06,-0.8069
862,2017-06-07,0.4658
863,2017-06-08,0.1241
864,2017-06-09,-0.3828
865,2017-06-12,-0.0518
866,2017-06-13,1.2292
867,2017-06-14,-0.3196
868,2017-06-15,-0.4854
869,2017-06-16,-1.1709
870,2017-06-19,2.0892
871,2017-06-20,-1.7053
872,2017-06-21,-0.0622
873,2017-06-22,-0.1141
874,2017-06-23,0.3008
875,2017-06-26,0.1658
876,2017-06-27,-2.0384
877,2017-06-28,2.2455
878,2017-06-29,-2.2246
879,2017-06-30,0.4694
880,2017-07-03,0.4269
881,2017-07-05,0.582
882,2017-07-06,-2.315
883,2017-07-07,1.629
884,2017-07-10,0.2705
885,2017-07-11,-0.1872
886,2017-07-12,1.8866
887,2017-07-13,0.4231
888,2017-07-14,1.1726
889,2017-07-17,-0.0308
890,2017-07-18,0.1334
891,2017-07-19,1.3606
892,2017-07-20,0.1122
893,2017-07-21,-0.2245
894,2017-07-24,-0.0613
895,2017-07-25,0.6118
896,2017-07-26,0.0102
897,2017-07-27,-0.2344
898,2017-07-28,-0.2958
899,2017-07-31,-0.1429
900,2017-08-01,0.561
901,2017-08-02,0.1222
902,2017-08-03,-0.4893
903,2017-08-04,0.4588
904,2017-08-07,0.4681
905,2017-08-08,-0.6209
906,2017-08-09,-0.0102
907,2017-08-10,-3.5824
908,2017-08-11,0.3719
909,2017-08-14,2.4858
910,2017-08-15,-0.0307
911,2017-08-16,0.4392
912,2017-08-17,-3.9598
913,2017-08-18,-0.3942
914,2017-08-21,0.1972
915,2017-08-22,2.6215
916,2017-08-23,-0.9051
917,2017-08-24,-0.588
918,2017-08-25,0.588
919,2017-08-28,0.0103
920,2017-08-29,0.2883
921,2017-08-30,1.1911
922,2017-08-31,1.5115
923,2017-09-01,0.3561
924,2017-09-05,-1.8164
925,2017-09-06,0.8588
926,2017-09-07,-0.0306
927,2017-09-08,-0.2962
928,2017-09-11,2.6736
929,2017-09-12,0.848
930,2017-09-13,0.1209
931,2017-09-14,-0.0806
932,2017-09-15,-0.9085
933,2017-09-18,0.5354
934,2017-09-19,0.2522
935,2017-09-20,0.0907
936,2017-09-21,-0.6761
937,2017-09-22,0.0505
938,2017-09-25,-0.5158
939,2017-09-26,0.1518
940,2017-09-27,0.9795
941,2017-09-28,0.3022
942,2017-09-29,0.8842
943,2017-10-02,1.091
944,2017-10-03,0.5387
945,2017-10-04,0.2988
946,2017-10-05,1.4887
947,2017-10-06,-0.2871
948,2017-10-09,-0.4164
949,2017-10-10,0.664
950,2017-10-11,0.3956
951,2017-10-12,-0.3758
952,2017-10-13,0.3066
953,2017-10-16,0.3358
954,2017-10-17,0.1776
955,2017-10-18,0.2465
956,2017-10-19,0.069
957,2017-10-20,1.2971
958,2017-10-23,-0.982
959,2017-10-24,0.4424
960,2017-10-25,-1.2505
961,2017-10-26,0.3255
962,2017-10-27,2.052
963,2017-10-30,-0.9405
964,2017-10-31,0.3923
965,2017-11-01,0.333
966,2017-11-02,0.0978
967,2017-11-03,0.8399
968,2017-11-06,0.3897
969,2017-11-07,-0.1753
970,2017-11-08,0.4283
971,2017-11-09,-0.9159
972,2017-11-10,-0.0781
973,2017-11-13,0.2342
